Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,3.805586474,2019,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,82.3231162,2019,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,23.37988162,2019,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,48549,2019,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,81.4,2019,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,25.36897165,2019,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,4_1,Work-life balance,H_D,Hours per day,Time off,,Total,Female,Total,14.595666,2019,Time off_Age:Total_Sex:Female_Education:Total
United States,3_3,Housing,PT_HH,Percentage of households,Housing cost overburden,,Total,Total,Total,26.83532238,2019,Housing cost overburden_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Young,Total,Total,68.126899,2019,Feeling safe at night_Age:Young_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2019,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,71.045883,2019,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2019,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.0181695,2019,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.413687255,2019,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2019,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,75.87719038,2019,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,3.3,2019,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2019,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2019,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,82.34747811,2019,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,4_2,Work-life balance,PT_POP_Y15T64,Percentage of population aged 15-64 years,Long unpaid working hours,,Total,Total,Total,13.25455,2019,Long unpaid working hours_Age:Total_Sex:Total_Education:Total
United States,9_2,Environmental quality,PT_POP,Percentage of population,Exposed to air pollution,,Total,Total,Total,5.613,2019,Exposed to air pollution_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,33.9610405,2019,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,0.523954733,2019,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2019,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,8.317186755,2019,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2019,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2019,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,4_1,Work-life balance,H_D,Hours per day,Time off,,Middle-aged,Total,Total,14.208195,2019,Time off_Age:Middle-aged_Sex:Total_Education:Total
United States,1_4,Income and wealth,PT_POP,Percentage of population,Household disposable income below the relative income poverty line,,Total,Total,Total,18,2019,Household disposable income below the relative income poverty line_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2019,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,93.4,2019,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,74.8,2019,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2019,Social support_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,69.6746699,2019,Employment rate_Age:Total_Sex:Female_Education:Total
United States,3_5,Housing,PT_HH,Percentage of households,Households with internet access at home,,Total,Total,Total,79.17,2019,Households with internet access at home_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2019,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,79.96198923,2019,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,5,2019,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2019,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,1_6,Income and wealth,PT_POP,Percentage of population,Equivalised liquid financial assets below three months of the annual national relative income poverty line,,Total,Total,Total,51.49999857,2019,Equivalised liquid financial assets below three months of the annual national relative income poverty line_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,0.47195627,2019,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2019,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,1_3_VER,Income and wealth,PT_B90_S14,Percentage of household wealth,Top wealthiest households decile,,Total,Total,Total,79.061813,2019,Top wealthiest households decile_Age:Total_Sex:Total_Education:Total
United States,1_3,Income and wealth,USD_HH_PPP,"US dollars per household, PPP converted",Median net wealth,,Total,Total,Total,97400,2019,Median net wealth_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,91.51838545,2019,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2019,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,51.18817389,2019,Employment rate_Age:Young_Sex:Total_Education:Total
United States,4_1,Work-life balance,H_D,Hours per day,Time off,,Old,Total,Total,14.552593,2019,Time off_Age:Old_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,76.3,2019,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,11.836376,2019,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,8.554309026,2019,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,4_1,Work-life balance,H_D,Hours per day,Time off,,Total,Male,Total,14.55275,2019,Time off_Age:Total_Sex:Male_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2019,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,0.427846189,2019,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,1_2,Income and wealth,FCTR_Q1_INC,Factor of lowest income quintile,Top average household disposable income quintile,,Total,Total,Total,8.4,2019,Top average household disposable income quintile_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,15.0362813,2019,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,86.09999847,2019,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,18.47070507,2019,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,11.07270283,2019,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,0.427145419,2020,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,8_2,Civic engagement,PT_VOTES,Percentage of votes,Voter turnout,,Total,Total,Total,70.75,2020,Voter turnout_Age:Total_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,11.475244,2020,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,78.07260424,2020,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,19.83101654,2020,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,81.856888,2020,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.638919106,2020,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,13.80725472,2020,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,7.4,2020,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,83.4,2020,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,0.703426451,2020,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,54.84667587,2020,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,77,2020,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,11.416515,2020,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,11.9,2020,Homicides_Age:Total_Sex:Male_Education:Total
United States,3_1,Housing,PT_HH,Percentage of households,Households living in overcrowded conditions,,Total,Total,Total,4.200647026,2020,Households living in overcrowded conditions_Age:Total_Sex:Total_Education:Total
United States,3_4,Housing,PT_HH,Percentage of households,Poor households without access to basic sanitary facilities,,Total,Total,Total,0,2020,Poor households without access to basic sanitary facilities_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,73.6,2020,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Secondary education,13.91852796,2020,Negative affect balance_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Young,Total,Total,12.30201572,2020,Negative affect balance_Age:Young_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Female,Total,64.20485973,2020,Feeling safe at night_Age:Total_Sex:Female_Education:Total
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,72807,2020,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.8,2020,Homicides_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Old,Total,Total,91.25460386,2020,Social support_Age:Old_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,91.1,2020,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,11.586435,2020,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Old,Total,Total,11.9647935,2020,Negative affect balance_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,60.32897232,2020,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,55.072292,2020,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2020,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,3.443534405,2020,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,77.96595796,2020,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,23.81,2020,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,51471,2020,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,79.9,2020,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,21.30240304,2020,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,3_3,Housing,PT_HH,Percentage of households,Housing cost overburden,,Total,Total,Total,26.55737996,2020,Housing cost overburden_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Young,Total,Total,68.126899,2020,Feeling safe at night_Age:Young_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2020,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,69.037971,2020,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2020,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,10.40222229,2020,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.417203705,2020,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2020,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,71.79540524,2020,Employment rate_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2020,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2020,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,82.77126528,2020,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,37.22231674,2020,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,0.489165355,2020,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2020,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,6.249655922,2020,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2020,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2020,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,1_4,Income and wealth,PT_POP,Percentage of population,Household disposable income below the relative income poverty line,,Total,Total,Total,16.6,2020,Household disposable income below the relative income poverty line_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2020,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96.3,2020,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,76.9,2020,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2020,Social support_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,65.85132454,2020,Employment rate_Age:Total_Sex:Female_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2020,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,75.6337123,2020,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,4.843621399,2020,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2020,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,0.455178597,2020,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2020,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,93.53696898,2020,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2020,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,45.86101107,2020,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,74.2,2020,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,11.698627,2020,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,8.953997809,2020,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2020,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,0.408154822,2020,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,1_2,Income and wealth,FCTR_Q1_INC,Factor of lowest income quintile,Top average household disposable income quintile,,Total,Total,Total,7.6,2020,Top average household disposable income quintile_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,13.87744406,2020,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,87.19999695,2020,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,17.65249538,2020,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,11.78326884,2020,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,1.32631622,2021,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,14.180167,2021,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
